,icb_name,en_icb_name,icb_code,level
0,Sản xuất Dầu khí,Oil & Gas Producers,0530,3
1,Dầu khí,Oil & Gas,0500,2
2,Hóa chất,Chemicals,1300,2
3,Tài nguyên Cơ bản,Basic Resources,1700,2
4,Xây dựng và Vật liệu,Construction & Materials,2300,2
5,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2700,2
6,Ô tô và phụ tùng,Automobiles & Parts,3300,2
7,Thực phẩm và đồ uống,Food & Beverage,3500,2
8,Hàng cá nhân & Gia dụng,Personal & Household Goods,3700,2
9,Y tế,Health Care,4500,2
10,Bán lẻ,Retail,5300,2
11,Truyền thông,Media,5500,2
12,Du lịch và Giải trí,Travel & Leisure,5700,2
13,Viễn thông,Telecommunications,6500,2
14,"Điện, nước & xăng dầu khí đốt",Utilities,7500,2
15,Ngân hàng,Banks,8300,2
16,Bảo hiểm,Insurance,8500,2
17,Bất động sản,Real Estate,8600,2
18,Dịch vụ tài chính,Financial Services,8700,2
19,Công nghệ Thông tin,Technology,9500,2
20,"Thiết bị, Dịch vụ và Phân phối Dầu khí","Oil Equipment, Services & Distribution",0570,3
21,Hóa chất,Chemicals,1350,3
22,Lâm nghiệp và Giấy,Forestry & Paper,1730,3
23,Kim loại,Industrial Metals & Mining,1750,3
24,Khai khoáng,Mining,1770,3
25,Xây dựng và Vật liệu,Construction & Materials,2350,3
26,Hàng công nghiệp,General Industrials,2720,3
27,Điện tử & Thiết bị điện,Electronic & Electrical Equipment,2730,3
28,Công nghiệp nặng,Industrial Engineering,2750,3
29,Vận tải,Industrial Transportation,2770,3
30,Tư vấn & Hỗ trợ Kinh doanh,Support Services,2790,3
31,Ô tô và phụ tùng,Automobiles & Parts,3350,3
32,Bia và đồ uống,Beverages,3530,3
33,Sản xuất thực phẩm,Food Producers,3570,3
34,Hàng gia dụng,Household Goods & Home Construction,3720,3
35,Hàng hóa giải trí,Leisure Goods,3740,3
36,Hàng cá nhân,Personal Goods,3760,3
37,Thuốc lá,Tobacco,3780,3
38,Thiết bị và Dịch vụ Y tế,Health Care Equipment & Services,4530,3
39,Dược phẩm,Pharmaceuticals & Biotechnology,4570,3
40,Phân phối thực phẩm & dược phẩm,Food & Drug Retailers,5330,3
41,Bán lẻ,General Retailers,5370,3
42,Truyền thông,Media,5550,3
43,Du lịch & Giải trí,Travel & Leisure,5750,3
44,Viễn thông cố định,Fixed Line Telecommunications,6530,3
45,Viễn thông di động,Mobile Telecommunications,6570,3
46,Sản xuất & Phân phối Điện,Electricity,7530,3
47,Nước & Khí đốt,"Gas, Water & Multi-utilities",7570,3
