,time,open,high,low,close,volume
0,2024-01-02,493.47,499.76,489.31,489.89,44478200
1,2024-01-03,490.07,495.41,488.58,495.41,39606200
2,2024-01-04,495.59,502.73,495.39,495.99,87125900
3,2024-01-05,496.93,499.34,494.79,497.39,40737100
4,2024-01-08,495.93,504.51,495.93,500.43,64414100
5,2024-01-09,500.12,502.67,496.11,497.91,58703500
6,2024-01-10,497.29,501.24,491.08,493.33,70261600
7,2024-01-11,493.44,498.01,491.51,496.61,56685000
8,2024-01-12,495.99,496.83,484.04,488.29,73466100
9,2024-01-15,488.29,491.1,478.51,478.51,45796800
10,2024-01-16,475.71,485.18,473.08,485.18,37761000
11,2024-01-17,485.18,491.75,480.9,485.67,57007300
12,2024-01-18,484.85,489.64,484.19,487.21,30895200
13,2024-01-19,487.21,491.62,484.56,485.1,40473700
14,2024-01-22,485.1,489.59,481.97,487.8,46697900
15,2024-01-23,487.33,489.5,484.63,486.21,45486300
16,2024-01-24,477.75,488.82,476.31,484.02,37680100
17,2024-01-25,484.02,486.7,483.25,484.45,22894300
18,2024-01-26,484.26,487.89,484.08,485.8,30736300
19,2024-01-29,485.8,488.94,484.56,485.75,30428000
20,2024-01-30,485.28,492.18,485.22,492.08,38648900
21,2024-01-31,491.9,495.59,486.7,487.34,71086400
22,2024-02-01,487.74,495.01,486.41,493.68,35703700
23,2024-02-02,494.25,498.31,492.29,493.24,52609600
24,2024-02-05,493.86,495.1,490.89,492.04,53820400
25,2024-02-06,484.85,495.95,484.66,492.59,72168900
26,2024-02-07,492.01,495.79,491.38,492.96,46921500
27,2024-02-15,495.65,498.02,492.53,495.87,43783300
28,2024-02-16,495.33,501.69,485.16,497.64,45131100
29,2024-02-19,497.33,500.56,493.71,498.35,54401500
30,2024-02-20,493.16,502.73,485.44,500.11,66401800
31,2024-02-21,500.11,502.46,496.41,499.25,40075400
32,2024-02-22,493.8,503.04,485.74,498.3,45483500
33,2024-02-23,497.15,500.63,487.08,488.28,78140900
34,2024-02-26,487.89,494.09,485.33,494.09,55550300
35,2024-02-27,494.09,503.49,491.44,503.41,64945700
36,2024-02-28,502.26,507.83,497.4,503.94,64727200
37,2024-02-29,504.56,507.78,499.42,505.31,72834300
38,2024-03-01,505.71,511.24,505.57,509.98,81729300
39,2024-03-04,510.91,519.03,507.38,512.07,75902600
40,2024-03-05,506.63,513.91,501.43,512.83,57244500
41,2024-03-06,510.54,515.67,501.99,507.29,77272600
42,2024-03-07,500.5,515.79,499.88,514.39,113540800
43,2024-03-08,514.96,518.32,507.72,509.84,87332300
44,2024-03-11,509.38,512.61,499.91,502.39,67511500
45,2024-03-12,502.39,506.64,500.2,503.55,55865700
46,2024-03-13,499.83,516.61,492.86,516.44,77615200
47,2024-03-14,515.24,527.4,515.24,522.73,126876100
48,2024-03-15,522.73,528.24,518.17,522.44,80935500
49,2024-03-18,521.64,530.23,500.79,514.87,139896200
50,2024-03-19,516.01,521.78,511.45,513.53,62113400
51,2024-03-20,513.53,518.84,509.65,518.63,57836400
52,2024-03-21,516.05,530.09,515.97,529.77,135993300
53,2024-03-22,530.15,538.39,527.97,531.76,88186200
54,2024-03-25,531.76,540.63,525.67,528.87,103212600
55,2024-03-26,527.67,532.84,513.82,532.84,58331100
56,2024-03-27,532.96,539.89,532.05,535.69,60505200
