,time,open,high,low,close,volume
0,2024-01-02,230.69,232.4,229.7,229.99,59394600
1,2024-01-03,230.37,231.64,229.87,231.64,57900400
2,2024-01-04,231.63,233.66,231.63,232.56,111741500
3,2024-01-05,232.56,233.35,231.69,232.76,59577900
4,2024-01-08,232.76,234.88,232.38,233.33,82783300
5,2024-01-09,233.33,233.95,232.02,232.5,78360000
6,2024-01-10,232.39,233.44,230.91,231.41,88698800
7,2024-01-11,231.43,233.46,231.18,232.71,82324700
8,2024-01-12,232.59,232.69,229.2,230.31,98272900
9,2024-01-15,230.31,231.3,227.47,227.55,62381400
10,2024-01-16,227.02,229.5,226.54,229.5,52494900
11,2024-01-17,229.5,231.32,228.58,229.5,74938400
12,2024-01-18,229.35,230.52,228.95,229.93,47725600
13,2024-01-19,229.93,231.47,229.35,229.48,59926500
14,2024-01-22,229.48,230.6,228.19,229.77,63779200
15,2024-01-23,229.65,230.31,228.93,229.26,60551900
16,2024-01-24,229.26,229.93,226.66,228.53,55984900
17,2024-01-25,228.53,229.41,228.01,228.52,42552200
18,2024-01-26,228.49,229.89,228.45,229.43,59454500
19,2024-01-29,229.46,230.22,229.02,229.05,52423300
20,2024-01-30,229.04,230.82,228.89,230.66,58206700
21,2024-01-31,230.66,231.9,229.05,229.18,95982400
22,2024-02-01,229.18,231.02,228.91,230.57,52615200
23,2024-02-02,230.57,231.92,230.19,230.56,74802700
24,2024-02-05,230.56,231.03,229.86,230.28,69442500
25,2024-02-06,228.21,231.47,228.12,230.63,84479300
26,2024-02-07,230.52,231.63,230.42,231.04,61542300
27,2024-02-15,231.54,233.39,230.96,232.75,59216400
28,2024-02-16,232.65,234.32,230.2,233.04,66005600
29,2024-02-19,233.04,234.04,232.23,233.37,83207900
30,2024-02-20,231.88,234.53,230.38,233.5,95823600
31,2024-02-21,233.5,234.59,232.48,233.84,63362300
32,2024-02-22,232.84,235.05,231.35,234.01,80713000
33,2024-02-23,233.79,234.79,230.69,231.08,120062600
34,2024-02-26,231.08,232.86,230.24,232.86,78783600
