,time,open,high,low,close,volume
0,2024-01-02,1137.11,1140.11,1129.78,1131.64,215072183
1,2024-01-03,1131.57,1144.85,1126.57,1144.85,198944286
2,2024-01-04,1145.72,1167.27,1144.57,1156.37,436809301
3,2024-01-05,1156.71,1161.53,1152.79,1161.14,238491539
4,2024-01-08,1164.43,1169.95,1159.73,1163.52,277139201
5,2024-01-09,1163.61,1164.86,1156.01,1160.21,243371201
6,2024-01-10,1160.5,1168.93,1158.53,1162.68,367994000
7,2024-01-11,1162.68,1172.49,1159.52,1163.56,287315950
8,2024-01-12,1161.72,1167.94,1149.61,1163.66,385307501
9,2024-01-15,1168.07,1172.16,1161.3,1161.3,226774393
10,2024-01-16,1157.85,1170.19,1155.25,1170.19,225111527
11,2024-01-17,1169.52,1177.01,1165.32,1166.61,258069157
12,2024-01-18,1168.44,1175.6,1166.29,1173.91,190968801
13,2024-01-19,1176.62,1185.23,1176.54,1185.23,237518700
14,2024-01-22,1189.98,1192.57,1183.04,1189.56,288925832
15,2024-01-23,1191.54,1193.19,1180.91,1183.85,234933314
16,2024-01-24,1183.85,1188.11,1178.53,1179.45,248594801
17,2024-01-25,1180.64,1180.68,1174.11,1177.52,166730901
18,2024-01-26,1180.02,1184.9,1180.02,1182.82,179551893
19,2024-01-29,1184.54,1185.62,1178.29,1179.17,173798701
20,2024-01-30,1178.9,1182.49,1176.91,1181.71,186818537
21,2024-01-31,1183.54,1185.27,1163.51,1166.33,425739164
22,2024-02-01,1165.05,1175.62,1164.77,1173.35,182806174
23,2024-02-02,1174.02,1178.85,1171.62,1174.76,246677111
24,2024-02-05,1176.74,1201.33,1176.3,1197.36,337280702
25,2024-02-06,1199.73,1203.83,1196.66,1199.17,186415300
26,2024-02-07,1201.39,1214.54,1201.04,1212.7,208253518
27,2024-02-15,1213.84,1226.09,1213.84,1217.12,300256521
28,2024-02-16,1221.31,1224.54,1217.46,1224.54,223036531
29,2024-02-19,1228.71,1240.2,1226.97,1240.2,366083743
30,2024-02-20,1241.93,1243.81,1235.86,1241.65,290206392
31,2024-02-21,1241.01,1248.23,1233.97,1242.08,357613101
32,2024-02-22,1242.15,1243.58,1236.29,1239.9,253434746
33,2024-02-23,1241.28,1256.11,1222.94,1223.09,497404672
34,2024-02-26,1223.83,1234.52,1220.3,1233.31,279308070
35,2024-02-27,1238.55,1248.24,1235.15,1247.91,359072521
36,2024-02-28,1252.14,1265.35,1246.63,1265.35,312645309
37,2024-02-29,1268.94,1276.9,1258.26,1265.75,350189805
38,2024-03-01,1267.31,1269.07,1258.83,1267.07,277677296
39,2024-03-04,1267.07,1275.36,1262.9,1268.53,333754338
40,2024-03-05,1268.53,1280.17,1264.84,1280.17,290437530
41,2024-03-06,1280.38,1288.06,1264.44,1271.07,322852796
42,2024-03-07,1271.63,1279.92,1266.52,1276.56,265623657
43,2024-03-08,1277.31,1281.52,1250.2,1250.2,438997600
44,2024-03-11,1250.08,1255.3,1232.97,1235.12,316070657
45,2024-03-12,1233.81,1244.95,1232.4,1242.23,251037342
46,2024-03-13,1242.23,1272.28,1242.23,1272.28,265028001
47,2024-03-14,1272.36,1277.29,1254.72,1260.32,272327824
48,2024-03-15,1258.22,1264.77,1244.01,1256.42,278453204
49,2024-03-18,1256.37,1258.38,1215.67,1235.74,448754709
50,2024-03-19,1235.48,1241.23,1229.02,1234.74,264225398
51,2024-03-20,1236.45,1262.31,1228.49,1259.06,316226701
52,2024-03-21,1267.37,1281.57,1264.28,1281.57,329479703
53,2024-03-22,1281.57,1295.79,1276.81,1284.14,511326679
54,2024-03-25,1283.64,1288.91,1266.97,1270.0,302892201
55,2024-03-26,1270.0,1287.89,1266.79,1286.23,241962613
56,2024-03-27,1288.19,1290.76,1279.68,1288.77,251672309
57,2024-03-28,1294.29,1306.42,1294.29,1303.2,336980786
58,2024-03-29,1305.41,1306.01,1294.97,1296.9,288210403
59,2024-04-01,1293.36,1298.59,1284.2,1292.62,256968205
60,2024-04-02,1283.11,1292.3,1273.16,1292.3,407347848
61,2024-04-03,1287.64,1290.84,1273.15,1274.27,297624451
62,2024-04-04,1274.22,1278.67,1267.47,1267.65,269763614
63,2024-04-05,1258.11,1265.65,1251.84,1257.78,268301157
64,2024-04-08,1257.23,1260.17,1248.24,1254.72,257121900
65,2024-04-09,1255.84,1266.92,1252.58,1266.92,209914100
66,2024-04-10,1271.37,1276.08,1263.82,1263.82,237107520
67,2024-04-11,1262.96,1266.71,1254.64,1262.86,179576100
68,2024-04-12,1263.17,1285.3,1262.41,1284.74,471293612
69,2024-04-15,1283.98,1287.46,1227.9,1227.9,538362257
70,2024-04-16,1228.32,1234.28,1209.99,1232.7,417213811
71,2024-04-17,1232.89,1237.08,1209.42,1210.74,258632636
72,2024-04-19,1207.21,1210.32,1186.51,1194.03,316713075
73,2024-04-22,1204.41,1214.24,1200.15,1206.64,244143276
74,2024-04-23,1207.76,1213.96,1191.61,1200.37,273500146
75,2024-04-24,1200.37,1234.87,1200.37,1232.17,280577090
76,2024-04-25,1235.25,1236.99,1226.76,1233.72,176498597
77,2024-04-26,1227.69,1245.52,1225.55,1240.5,205247390
78,2024-05-02,1244.15,1248.41,1239.02,1247.21,180100603
79,2024-05-03,1248.5,1259.83,1248.5,1255.62,221412372
80,2024-05-06,1262.41,1274.62,1256.67,1274.62,292761268
81,2024-05-07,1279.29,1285.43,1272.63,1284.85,213724770
82,2024-05-08,1279.2,1285.12,1269.97,1284.85,327318728
83,2024-05-09,1287.23,1289.92,1274.57,1281.47,248065742
84,2024-05-10,1284.88,1285.22,1268.91,1277.47,182697639
85,2024-05-13,1277.47,1281.58,1266.27,1272.53,198603493
86,2024-05-14,1281.65,1287.51,1276.04,1277.31,209918068
87,2024-05-15,1277.31,1294.71,1277.31,1289.97,249157874
88,2024-05-16,1300.56,1311.4,1296.77,1308.27,317869013
89,2024-05-17,1309.42,1312.95,1304.14,1310.15,309091269
90,2024-05-20,1317.61,1322.13,1312.55,1312.55,415930573
91,2024-05-21,1311.36,1313.19,1297.51,1308.62,275019568
92,2024-05-22,1307.53,1311.11,1288.47,1291.46,365615503
93,2024-05-23,1290.38,1304.76,1283.26,1304.76,265508734
94,2024-05-24,1304.74,1309.89,1272.98,1283.46,427909575
95,2024-05-27,1286.97,1288.75,1275.98,1284.88,257285182
96,2024-05-28,1291.18,1299.75,1285.83,1299.75,271938761
97,2024-05-29,1299.75,1302.56,1284.02,1284.02,292280874
98,2024-05-30,1279.32,1280.5,1263.44,1279.29,291836874
99,2024-05-31,1280.08,1283.3,1273.85,1275.97,185017888
100,2024-06-03,1285.07,1301.64,1284.95,1297.78,318033991
101,2024-06-04,1305.12,1306.96,1298.4,1300.99,273463864
102,2024-06-05,1302.07,1313.11,1299.66,1299.66,272392074
103,2024-06-06,1303.85,1308.43,1296.37,1302.28,305583427
104,2024-06-07,1303.32,1314.56,1302.53,1308.03,190932922
105,2024-06-10,1314.28,1319.06,1306.53,1311.1,254560990
106,2024-06-11,1315.48,1318.09,1301.43,1308.3,299197646
107,2024-06-12,1308.89,1331.81,1305.27,1331.81,338197504
108,2024-06-13,1331.91,1339.17,1327.79,1333.85,374819501
109,2024-06-14,1336.35,1338.59,1316.46,1316.46,359321713
110,2024-06-17,1317.64,1318.16,1305.5,1309.7,303239479
111,2024-06-18,1314.39,1320.8,1309.89,1309.89,294416401
112,2024-06-19,1309.89,1319.31,1300.67,1314.22,339434964
113,2024-06-20,1316.78,1326.88,1311.43,1322.36,353450709
114,2024-06-21,1323.77,1324.81,1316.07,1319.93,269196967
115,2024-06-24,1317.31,1319.51,1287.26,1289.85,420389873
116,2024-06-25,1290.12,1293.28,1281.89,1288.8,254199703
117,2024-06-26,1291.04,1294.12,1276.44,1291.3,360677953
118,2024-06-27,1291.3,1291.3,1282.24,1289.03,204237743
119,2024-06-28,1289.31,1290.97,1272.27,1278.32,280506551
120,2024-07-01,1278.22,1285.48,1271.2,1285.48,186818064
121,2024-07-02,1288.21,1300.58,1286.07,1296.06,203010508
122,2024-07-03,1296.08,1309.4,1296.08,1305.5,236379658
123,2024-07-04,1309.16,1313.01,1304.31,1310.63,182023183
124,2024-07-05,1310.82,1316.7,1307.98,1316.18,190631765
125,2024-07-08,1317.01,1319.27,1309.55,1315.83,258969942
126,2024-07-09,1315.35,1322.21,1309.15,1321.78,290145651
127,2024-07-10,1322.24,1324.91,1310.91,1310.91,263503990
128,2024-07-11,1315.08,1318.15,1306.22,1306.22,239675422
129,2024-07-12,1304.75,1312.24,1298.45,1301.81,193341088
130,2024-07-15,1301.83,1307.3,1294.03,1297.82,216634957
131,2024-07-16,1298.14,1309.75,1298.14,1303.3,237155610
132,2024-07-17,1308.6,1324.55,1291.5,1305.37,490373140
133,2024-07-18,1305.25,1308.67,1290.05,1306.38,304398466
