,icb_name,en_icb_name,icb_code,level
0,Sản xuất Dầu khí,Oil & Gas Producers,0530,3
1,"Thiết bị, Dịch vụ và Phân phối Dầu khí","Oil Equipment, Services & Distribution",0570,3
2,Hóa chất,Chemicals,1350,3
3,Lâm nghiệp và Giấy,Forestry & Paper,1730,3
4,Kim loại,Industrial Metals & Mining,1750,3
5,Khai khoáng,Mining,1770,3
6,Xây dựng và Vật liệu,Construction & Materials,2350,3
7,Hàng công nghiệp,General Industrials,2720,3
8,Điện tử & Thiết bị điện,Electronic & Electrical Equipment,2730,3
9,Công nghiệp nặng,Industrial Engineering,2750,3
10,Vận tải,Industrial Transportation,2770,3
11,Tư vấn & Hỗ trợ Kinh doanh,Support Services,2790,3
12,Ô tô và phụ tùng,Automobiles & Parts,3350,3
13,Bia và đồ uống,Beverages,3530,3
14,Sản xuất thực phẩm,Food Producers,3570,3
15,Hàng gia dụng,Household Goods & Home Construction,3720,3
16,Hàng hóa giải trí,Leisure Goods,3740,3
17,Hàng cá nhân,Personal Goods,3760,3
18,Thuốc lá,Tobacco,3780,3
19,Thiết bị và Dịch vụ Y tế,Health Care Equipment & Services,4530,3
20,Dược phẩm,Pharmaceuticals & Biotechnology,4570,3
21,Phân phối thực phẩm & dược phẩm,Food & Drug Retailers,5330,3
22,Bán lẻ,General Retailers,5370,3
23,Truyền thông,Media,5550,3
24,Du lịch & Giải trí,Travel & Leisure,5750,3
25,Viễn thông cố định,Fixed Line Telecommunications,6530,3
26,Viễn thông di động,Mobile Telecommunications,6570,3
27,Sản xuất & Phân phối Điện,Electricity,7530,3
28,Nước & Khí đốt,"Gas, Water & Multi-utilities",7570,3
29,Ngân hàng,Banks,8350,3
30,Bảo hiểm phi nhân thọ,Nonlife Insurance,8530,3
31,Bảo hiểm nhân thọ,Life Insurance,8570,3
32,Bất động sản,Real Estate Investment & Services,8630,3
33,Dịch vụ tài chính,Financial Services,8770,3
34,Quỹ đầu tư,Equity Investment Instruments,8980,3
35,Phần mềm & Dịch vụ Máy tính,Software & Computer Services,9530,3
36,Thiết bị và Phần cứng,Technology Hardware & Equipment,9570,3
37,Dầu khí,Oil & Gas,0001,1
38,Sản xuất và Khai thác dầu khí,Exploration & Production,0533,4
39,Thiết bị và Dịch vụ Dầu khí,Oil Equipment & Services,0573,4
40,"Nhựa, cao su & sợi",Commodity Chemicals,1353,4
41,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,1357,4
42,Lâm sản và Chế biến gỗ,Forestry,1733,4
43,Sản xuất giấy,Paper,1737,4
44,Nhôm,Aluminum,1753,4
45,Kim Loại màu,Nonferrous Metals,1755,4
46,Thép và sản phẩm thép,Steel,1757,4
47,Khai thác Than,Coal,1771,4
48,Khai khoáng,General Mining,1775,4
49,Khai thác vàng,Gold Mining,1777,4
50,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,2353,4
51,Xây dựng,Heavy Construction,2357,4
52,Containers & Đóng gói,Containers & Packaging,2723,4
53,Công nghiệp phức hợp,Diversified Industrials,2727,4
54,Hàng điện & điện tử,Electrical Components & Equipment,2733,4
55,Thiết bị điện,Electronic Equipment,2737,4
56,Xe tải & Đóng tàu,Commercial Vehicles & Trucks,2753,4
57,Máy công nghiệp,Industrial Machinery,2757,4
58,Chuyển phát nhanh,Delivery Services,2771,4
59,Vận tải Thủy,Marine Transportation,2773,4
60,Đường sắt,Railroads,2775,4
61,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,2777,4
