time,open,xgb_prediction,lstm_prediction
2010-03-24,10.58,10.764529,10.764529
2010-03-25,10.49,10.552845,10.552845
2010-03-26,10.39,10.801396,10.801396
2010-03-29,10.56,10.676496,10.676496
2010-03-30,10.46,10.552845,10.552845
2010-03-31,10.37,10.552845,10.552845
2010-04-01,10.39,10.545555,10.545555
2010-04-02,10.58,10.554758,10.554758
2010-04-05,10.56,10.662589,10.662589
2010-04-06,10.51,10.655092,10.655092
2010-04-07,10.46,10.547468,9.51626968383789
2010-04-08,10.32,10.513497,9.53751277923584
2010-04-09,10.25,10.529992,9.45316219329834
2010-04-12,10.37,10.647802,9.505755424499512
2010-04-13,10.39,10.513497,9.573121070861816
2010-04-14,10.25,10.38906,9.535916328430176
2010-04-15,10.35,10.38906,9.511075019836426
2010-04-16,10.25,10.2767,9.511651039123535
2010-04-19,10.06,10.231053,9.46423625946045
2010-04-20,10.06,10.090929,9.427841186523438
2010-04-21,9.95,10.118288,9.385176658630373
2010-04-22,10.06,10.366236,9.38113498687744
2010-04-26,10.2,10.379045,9.457056999206545
2010-04-27,10.23,10.493562,9.390586853027344
2010-04-28,10.23,10.384686,9.43971061706543
2010-04-29,10.11,10.231053,9.386404991149902
2010-05-04,10.11,10.514458,9.327543258666992
2010-05-05,10.35,10.2767,9.434990882873535
2010-05-06,10.11,10.231053,9.380566596984863
2010-05-07,9.99,10.126499,9.376774787902832
2010-05-10,9.95,10.108903,9.329400062561035
2010-05-11,10.11,10.126499,9.2949800491333
2010-05-12,9.88,9.946444,9.288939476013184
2010-05-13,9.97,9.956098,9.168984413146973
2010-05-14,9.9,9.956098,9.182515144348145
2010-05-17,9.85,9.946444,9.164649963378906
2010-05-18,9.55,9.932191,9.089122772216797
2010-05-19,9.55,9.662272,9.094597816467283
2010-05-20,9.4,9.662272,9.022269248962402
2010-05-21,9.22,9.316527,9.031305313110352
2010-05-24,9.19,9.500336,8.865840911865234
2010-05-25,9.4,9.627613,8.933218955993652
2010-05-26,9.43,9.497021,8.957579612731934
2010-05-27,9.4,9.627613,8.903485298156738
2010-05-28,9.52,9.810076,8.869725227355957
2010-05-31,9.64,9.662272,8.909878730773926
2010-06-01,9.52,9.805734,8.859046936035156
2010-06-02,9.62,9.805734,8.893874168395996
2010-06-03,9.64,9.819986,8.908610343933105
2010-06-04,9.75,9.946444,8.995783805847168
2010-06-07,9.5,9.662272,9.022404670715332
2010-06-08,9.52,9.627613,8.963882446289062
2010-06-09,9.45,9.627613,8.987932205200195
2010-06-10,9.47,9.627613,8.984530448913574
2010-06-11,9.62,9.662272,8.98820972442627
2010-06-14,9.6,9.662272,9.0331449508667
2010-06-15,9.65,9.89336,9.037220001220703
2010-06-16,9.82,10.051247,9.09779167175293
2010-06-17,9.93,10.205391,9.161372184753418
2010-06-18,10.05,10.238117,9.223735809326172
2010-06-21,10.15,10.231053,9.250020027160645
2010-06-22,9.87,10.1840315,9.27993106842041
2010-06-23,9.85,10.1840315,9.312617301940918
2010-06-24,10.07,10.231053,9.31758975982666
2010-06-25,9.98,9.906202,9.351357460021973
