time,open,high,low,close,volume,Return,Volatility,Momentum,date,natural,positive,negative
2010-03-24,10.58,10.63,10.53,10.63,124330,0.3270125034187023,-0.7001135214472703,-0.3764092903572357,2010-03-24,0,0,0
2010-03-25,10.49,10.56,10.35,10.39,135370,-1.2878327600614432,-0.5415944166978552,-0.44387645544228993,2010-03-25,0,0,0
2010-03-26,10.39,10.7,10.35,10.7,284850,1.6101790039638213,0.04892044240679396,-0.30444431426651203,2010-03-26,0,0,0
2010-03-29,10.56,10.7,10.53,10.56,165200,-0.7629295972079577,0.06355492892732616,-0.3134399362778524,2010-03-29,0,0,0
2010-03-30,10.46,10.53,10.39,10.39,119080,-0.9295966886479559,-0.06720667598783349,-0.26396401521547885,2010-03-30,0,0,0
2010-03-31,10.37,10.53,10.35,10.35,148860,-0.2523601257596129,-0.16544438069465553,-0.19649685013042542,2010-03-31,0,0,0
2010-04-01,10.39,10.39,10.32,10.39,268010,0.1741857574753398,-0.15661791017625698,-0.18750122811908426,2010-04-01,0,0,0
2010-04-02,10.58,10.58,10.35,10.42,190480,0.12014770018507392,-0.18731299379883543,-0.124531874039701,2010-04-02,0,0,0
2010-04-05,10.56,10.58,10.46,10.51,265780,0.4380612204079551,-0.15812345128836947,-0.10204281901134929,2010-04-05,0,0,0
2010-04-06,10.51,10.53,10.46,10.46,248550,-0.3025375425750401,-0.15476192125142277,-0.1380253070567115,2010-04-06,0,0,0
2010-04-07,10.46,10.46,10.37,10.42,167350,-0.2509356216451006,-0.18147366535925133,-0.18750122811908507,2010-04-07,0,0,0
2010-04-08,10.32,10.42,10.32,10.32,266300,-0.5701204346474363,-0.3699454709004015,-0.124531874039701,2010-04-08,0,0,0
2010-04-09,10.25,10.39,10.25,10.35,230040,0.12123057177212945,-1.006037813175187,-0.25047058219846835,2010-04-09,0,0,0
2010-04-12,10.37,10.46,10.35,10.46,295540,0.548133227191794,-0.9710940016416233,-0.1380253070567115,2010-04-12,0,0,0
2010-04-13,10.39,10.46,10.32,10.32,117080,-0.7795283984226643,-1.035649773137001,-0.124531874039701,2010-04-13,0,0,0
2010-04-14,10.25,10.32,10.23,10.25,83880,-0.4145330372485402,-1.012564151531925,-0.1380253070567115,2010-04-14,0,0,0
2010-04-15,10.35,10.35,10.23,10.25,300830,-0.039498510934071446,-1.033178411751916,-0.15601655107939302,2010-04-15,0,0,0
2010-04-16,10.25,10.28,10.16,10.16,226720,-0.5249787451373861,-1.012194308896974,-0.20999028314743595,2010-04-16,0,0,0
2010-04-19,10.06,10.13,10.06,10.06,154570,-0.5836993421440411,-1.1062558264774165,-0.2954486922551709,2010-04-19,0,0,0
2010-04-20,10.06,10.09,9.95,9.97,200870,-0.534147854928499,-1.088108452023434,-0.3134399362778524,2010-04-20,0,0,0
2010-04-21,9.95,9.99,9.95,9.99,146630,0.07141584102365961,-1.0501780962742457,-0.28645307024383054,2010-04-21,0,0,0
2010-04-22,10.06,10.42,10.04,10.3,210380,1.6762321577135035,-0.36563336208866665,-0.10204281901134929,2010-04-22,0,0,0
2010-04-26,10.2,10.35,10.2,10.2,205770,-0.5763024376421648,-0.3314203768777936,-0.1605143620850632,2010-04-26,0,0,0
2010-04-27,10.23,10.35,10.2,10.32,273440,0.6109815414298562,-0.31709186277453655,-0.15601655107939302,2010-04-27,0,0,0
2010-04-28,10.23,10.3,10.2,10.23,111590,-0.5216857590526741,-0.36462959923098476,-0.13352749605104133,2010-04-28,0,0,0
2010-04-29,10.11,10.18,10.11,10.11,167650,-0.6880709971620302,-0.32323063416278097,-0.15601655107939302,2010-04-29,0,0,0
2010-05-04,10.11,10.56,10.11,10.39,331060,1.4917997330086903,0.02390565258745821,-0.030077842920624872,2010-05-04,0,0,0
2010-05-05,10.35,10.35,10.18,10.18,102950,-1.157021988768138,0.16547338351371066,-0.0840515749886686,2010-05-05,0,0,0
2010-05-06,10.11,10.18,10.09,10.09,209480,-0.528317017867664,0.1578846973459483,-0.07955376398299842,2010-05-06,0,0,0
2010-05-07,9.99,10.04,9.92,9.99,285430,-0.5874747691197298,0.16525877761795388,-0.0840515749886686,2010-05-07,0,0,0
2010-05-10,9.95,10.02,9.8,9.99,443310,-0.039498510934071446,0.164063528159717,-0.09304719700000895,2010-05-10,0,0,0
2010-05-11,10.11,10.11,9.92,9.99,261630,-0.039498510934071446,-0.29345863541114847,-0.23247933817578761,2010-05-11,0,0,0
