time,open,high,low,close,volume
2010-03-10,11.24,11.31,11.22,11.26,268350
2010-03-11,11.33,11.33,11.17,11.17,90870
2010-03-12,11.24,11.24,11.07,11.17,200050
2010-03-15,11.05,11.19,11.05,11.05,335920
2010-03-16,10.93,10.93,10.77,10.77,289410
2010-03-17,10.58,10.93,10.58,10.58,212650
2010-03-18,10.58,10.7,10.56,10.6,262660
2010-03-19,10.49,10.6,10.49,10.49,326180
2010-03-22,10.46,10.77,10.46,10.53,192140
2010-03-23,10.56,10.82,10.53,10.56,200810
2010-03-24,10.58,10.63,10.53,10.63,124330
2010-03-25,10.49,10.56,10.35,10.39,135370
2010-03-26,10.39,10.7,10.35,10.7,284850
2010-03-29,10.56,10.7,10.53,10.56,165200
2010-03-30,10.46,10.53,10.39,10.39,119080
2010-03-31,10.37,10.53,10.35,10.35,148860
2010-04-01,10.39,10.39,10.32,10.39,268010
2010-04-02,10.58,10.58,10.35,10.42,190480
2010-04-05,10.56,10.58,10.46,10.51,265780
2010-04-06,10.51,10.53,10.46,10.46,248550
2010-04-07,10.46,10.46,10.37,10.42,167350
2010-04-08,10.32,10.42,10.32,10.32,266300
2010-04-09,10.25,10.39,10.25,10.35,230040
2010-04-12,10.37,10.46,10.35,10.46,295540
2010-04-13,10.39,10.46,10.32,10.32,117080
2010-04-14,10.25,10.32,10.23,10.25,83880
2010-04-15,10.35,10.35,10.23,10.25,300830
2010-04-16,10.25,10.28,10.16,10.16,226720
2010-04-19,10.06,10.13,10.06,10.06,154570
2010-04-20,10.06,10.09,9.95,9.97,200870
2010-04-21,9.95,9.99,9.95,9.99,146630
2010-04-22,10.06,10.42,10.04,10.3,210380
2010-04-26,10.2,10.35,10.2,10.2,205770
2010-04-27,10.23,10.35,10.2,10.32,273440
2010-04-28,10.23,10.3,10.2,10.23,111590
2010-04-29,10.11,10.18,10.11,10.11,167650
2010-05-04,10.11,10.56,10.11,10.39,331060
2010-05-05,10.35,10.35,10.18,10.18,102950
2010-05-06,10.11,10.18,10.09,10.09,209480
2010-05-07,9.99,10.04,9.92,9.99,285430
2010-05-10,9.95,10.02,9.8,9.99,443310
2010-05-11,10.11,10.11,9.92,9.99,261630
2010-05-12,9.88,9.95,9.76,9.76,431400
2010-05-13,9.97,9.97,9.76,9.8,324040
2010-05-14,9.9,9.9,9.8,9.8,227070
2010-05-17,9.85,9.85,9.64,9.73,347520
2010-05-18,9.55,9.73,9.55,9.73,206540
2010-05-19,9.55,9.66,9.55,9.55,429800
2010-05-20,9.4,9.59,9.4,9.59,443540
2010-05-21,9.22,9.38,9.19,9.19,583870
2010-05-24,9.19,9.4,9.19,9.4,281430
2010-05-25,9.4,9.45,9.38,9.45,378760
2010-05-26,9.43,9.48,9.4,9.4,309750
2010-05-27,9.4,9.43,9.38,9.43,230180
2010-05-28,9.52,9.64,9.43,9.64,232910
2010-05-31,9.64,9.64,9.57,9.59,265480
2010-06-01,9.52,9.64,9.52,9.64,186910
2010-06-02,9.62,9.66,9.59,9.64,373100
2010-06-03,9.64,9.69,9.64,9.64,381990
2010-06-04,9.75,9.8,9.72,9.75,339560
2010-06-07,9.5,9.67,9.5,9.52,254160
2010-06-08,9.52,9.55,9.5,9.5,269320
2010-06-09,9.45,9.52,9.45,9.47,215320
2010-06-10,9.47,9.52,9.45,9.5,191400
2010-06-11,9.62,9.62,9.52,9.57,140560
2010-06-14,9.6,9.62,9.57,9.57,79290
2010-06-15,9.65,9.72,9.6,9.72,243940
2010-06-16,9.82,9.93,9.8,9.93,207980
2010-06-17,9.93,10.15,9.87,10.15,434550
2010-06-18,10.05,10.28,10.05,10.05,674600
